Epoch,Loss,Accuracy,Val_Loss,Val_Accuracy
1,0.5277548432350159,0.7900856733322144,0.3878738582134247,0.861309826374054
2,0.40954235196113586,0.8554474115371704,0.3297852873802185,0.8929554224014282
3,0.4063936471939087,0.8789432048797607,0.2971688508987427,0.9078150987625122
4,0.4414341449737549,0.8808008432388306,0.4170618951320648,0.9083654284477234
5,0.4713406562805176,0.8856858015060425,0.43423494696617126,0.9001100659370422
6,0.5150628685951233,0.8840001225471497,0.42145809531211853,0.9058888554573059
7,0.5585366487503052,0.8843785524368286,0.4603801965713501,0.9177215099334717
8,0.6491793394088745,0.8832777142524719,0.44158434867858887,0.912493109703064
9,0.7704663872718811,0.8806976675987244,0.5651358962059021,0.9164832234382629
10,0.9012047052383423,0.8770511746406555,0.7028740048408508,0.8992845416069031
